,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
10,"Peking University(Peking University),Beijing,China","Peking University(Peking University),Beijing,China",53756,"{'primary organization': [{'text': 'peking university', 'start': 0, 'end': 17, 'probability': 0.7876456406037562}, {'text': 'peking university', 'start': 18, 'end': 35, 'probability': 0.8976864186919258}], 'secondary organization': [{'text': 'peking university', 'start': 0, 'end': 17, 'probability': 0.3383724194613933}, {'text': 'peking university', 'start': 18, 'end': 35, 'probability': 0.9020362895095388}], 'tertiary organization': [{'text': 'peking university', 'start': 0, 'end': 17, 'probability': 0.6272211372647618}, {'text': 'peking university', 'start': 18, 'end': 35, 'probability': 0.9283660572026804}], 'city': [{'text': 'peking', 'start': 18, 'end': 24, 'probability': 0.7808930429345189}, {'text': 'beijing', 'start': 37, 'end': 44, 'probability': 0.9979301334239707}], 'country': [{'text': 'china', 'start': 45, 'end': 50, 'probability': 0.9999771119192324}]}",peking university
11,"Univ Calif San Francisco, San Francisco, CA 94143 USA","Univ Calif San Francisco, San Francisco, CA 94143 USA",53718,"{'primary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.7623713045129321}], 'secondary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.6341433674178347}], 'tertiary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.8023101846788201}], 'city': [{'text': 'san francisco', 'start': 26, 'end': 39, 'probability': 0.9958928972813084}, {'text': 'san francisco', 'start': 11, 'end': 24, 'probability': 0.9946382691987132}], 'postal code': [{'text': '94143', 'start': 44, 'end': 49, 'probability': 0.5798798584901448}], 'country': [{'text': 'usa', 'start': 50, 'end': 53, 'probability': 0.9995597403920087}]}",univ calif
12,Corresponding author,Corresponding author,52734,{},NaN
13,"Univ Penn, Philadelphia, PA 19104 USA","Univ Penn, Philadelphia, PA 19104 USA",52388,"{'primary organization': [{'text': 'univ penn', 'start': 0, 'end': 9, 'probability': 0.9988632264526132}], 'secondary organization': [{'text': 'univ penn', 'start': 0, 'end': 9, 'probability': 0.9899793126638485}], 'tertiary organization': [{'text': 'univ penn', 'start': 0, 'end': 9, 'probability': 0.9979963259527267}], 'city': [{'text': 'philadelphia', 'start': 11, 'end': 23, 'probability': 0.9999839664148027}], 'postal code': [{'text': '19104', 'start': 28, 'end': 33, 'probability': 0.5755050797930821}], 'country': [{'text': 'usa', 'start': 34, 'end': 37, 'probability': 0.9998945620338944}]}",univ penn
14,"Jilin University(Jilin University),Changchun,China","Jilin University(Jilin University),Changchun,China",52284,"{'primary organization': [{'text': 'jilin university', 'start': 0, 'end': 16, 'probability': 0.9963412738782509}, {'text': 'jilin university', 'start': 17, 'end': 33, 'probability': 0.9951465146551683}], 'secondary organization': [{'text': 'jilin university', 'start': 0, 'end': 16, 'probability': 0.9510912410720707}, {'text': 'jilin university', 'start': 17, 'end': 33, 'probability': 0.9904770924485611}], 'tertiary organization': [{'text': 'jilin university', 'start': 0, 'end': 16, 'probability': 0.9943063363733131}, {'text': 'jilin university', 'start': 17, 'end': 33, 'probability': 0.9972855814652632}], 'city': [{'text': 'changchun', 'start': 35, 'end': 44, 'probability': 0.9982638377015363}], 'country': [{'text': 'china', 'start': 45, 'end': 50, 'probability': 0.999980449753135}]}",jilin university
15,"Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China","Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China",50426,"{'primary organization': [{'text': 'chinese academy of sciences', 'start': 0, 'end': 27, 'probability': 0.9710223596661649}, {'text': 'chinese academy of sciences', 'start': 28, 'end': 55, 'probability': 0.6597611728733348}], 'secondary organization': [{'text': 'chinese academy of sciences', 'start': 0, 'end': 27, 'probability': 0.936129647712221}, {'text': 'chinese academy of sciences', 'start': 28, 'end': 55, 'probability': 0.6252184483593197}], 'tertiary organization': [{'text': 'chinese academy of sciences', 'start': 0, 'end': 27, 'probability': 0.960054430521339}, {'text': 'chinese academy of sciences', 'start': 28, 'end': 55, 'probability': 0.7219028847973803}], 'city': [{'text': 'beijing', 'start': 57, 'end': 64, 'probability': 0.9999674561018423}], 'country': [{'text': 'china', 'start': 65, 'end': 70, 'probability': 0.9999786616103279}]}",chinese academy of sciences
16,"Sichuan University(Sichuan University),Chengdu,China","Sichuan University(Sichuan University),Chengdu,China",48807,"{'primary organization': [{'text': 'sichuan university', 'start': 0, 'end': 18, 'probability': 0.96796153034893}, {'text': 'sichuan university', 'start': 19, 'end': 37, 'probability': 0.9350886191390373}], 'secondary organization': [{'text': 'sichuan university', 'start': 0, 'end': 18, 'probability': 0.8595767978846496}, {'text': 'sichuan university', 'start': 19, 'end': 37, 'probability': 0.9411154526755574}], 'tertiary organization': [{'text': 'sichuan university', 'start': 0, 'end': 18, 'probability': 0.9688628140797562}, {'text': 'sichuan university', 'start': 19, 'end': 37, 'probability': 0.9819966149879065}], 'city': [{'text': 'chengdu', 'start': 39, 'end': 46, 'probability': 0.9991519410087335}], 'country': [{'text': 'china', 'start': 47, 'end': 52, 'probability': 0.9999798537151072}]}",sichuan university
17,university of wisconsin madison,universityersity of wisconsin madison,46242,"{'primary organization': [{'text': 'university of wisconsin madison', 'start': 0, 'end': 31, 'probability': 0.9098372707741547}], 'secondary organization': [{'text': 'university of wisconsin madison', 'start': 0, 'end': 31, 'probability': 0.6882576668574814}], 'tertiary organization': [{'text': 'university of wisconsin madison', 'start': 0, 'end': 31, 'probability': 0.90531673426824}], 'city': [{'text': 'madison', 'start': 24, 'end': 31, 'probability': 0.996541788052923}]}",university of wisconsin madison
18,"Xi'an Jiaotong University(Xi'an Jiaotong University,Xi'an Jiaotong Univ,Xi'an Jiaotong Univ.),Xi An,China","Xi'an Jiaotong University(Xi'an Jiaotong University,Xi'an Jiaotong Univ,Xi'an Jiaotong Univ.),Xi An,China",41820,"{'primary organization': [{'text': 'jiaotong university', 'start': 32, 'end': 51, 'probability': 0.4619890018020669}, {'text': ""xi'an jiaotong university"", 'start': 0, 'end': 25, 'probability': 0.960122091843747}], 'secondary organization': [{'text': ""xi'an jiaotong university"", 'start': 26, 'end': 51, 'probability': 0.5788544830363698}, {'text': ""xi'an jiaotong university"", 'start': 0, 'end': 25, 'probability': 0.9553736497841854}], 'tertiary organization': [{'text': 'jiaotong university', 'start': 32, 'end': 51, 'probability': 0.5552281318412646}, {'text': ""xi'an jiaotong university"", 'start': 0, 'end': 25, 'probability': 0.9753215406660729}], 'city': [{'text': 'xi an', 'start': 94, 'end': 99, 'probability': 0.9566226013929118}], 'country': [{'text': 'china', 'start': 100, 'end': 105, 'probability': 0.999956429295402}]}",xi'an jiaotong university
19,"Massachusetts Gen Hosp, Boston, MA 02114 USA","Massachusetts Gen Hosp, Boston, MA 02114 USA",40451,"{'city': [{'text': 'boston', 'start': 24, 'end': 30, 'probability': 0.999719275914476}], 'postal code': [{'text': '02114', 'start': 35, 'end': 40, 'probability': 0.925498459194614}], 'country': [{'text': 'usa', 'start': 41, 'end': 44, 'probability': 0.9997329267410322}]}",NaN
20,"Wuhan University(Wuhan University),Wuhan,China","Wuhan University(Wuhan University),Wuhan,China",39814,"{'primary organization': [{'text': 'wuhan university', 'start': 0, 'end': 16, 'probability': 0.9972327166465504}, {'text': 'wuhan university', 'start': 17, 'end': 33, 'probability': 0.9919729720430759}], 'secondary organization': [{'text': 'wuhan university', 'start': 0, 'end': 16, 'probability': 0.9680222075914884}, {'text': 'wuhan university', 'start': 17, 'end': 33, 'probability': 0.9889493971164569}], 'tertiary organization': [{'text': 'wuhan university', 'start': 0, 'end': 16, 'probability': 0.9973518097185661}, {'text': 'wuhan university', 'start': 17, 'end': 33, 'probability': 0.9970471588462715}], 'city': [{'text': 'wuhan', 'start': 35, 'end': 40, 'probability': 0.9991478706459844}], 'country': [{'text': 'china', 'start': 41, 'end': 46, 'probability': 0.9999796152979634}]}",wuhan university
21,"Dalian University of Technology(Dalian University of Technology,Dalian Univ. of Technol.),Dalian,China","Dalian University of Technology(Dalian University of Technology,Dalian Univ. of Technol.),Dalian,China",39358,"{'primary organization': [{'text': 'dalian university of technology', 'start': 0, 'end': 31, 'probability': 0.9793714655059418}, {'text': 'dalian university of technology', 'start': 32, 'end': 63, 'probability': 0.8761246927865116}], 'secondary organization': [{'text': 'dalian university of technology', 'start': 0, 'end': 31, 'probability': 0.9620112185061558}, {'text': 'dalian university of technology', 'start': 32, 'end': 63, 'probability': 0.8422351953035836}], 'tertiary organization': [{'text': 'dalian university of technology', 'start': 0, 'end': 31, 'probability': 0.9858663550160074}, {'text': 'dalian university of technology', 'start': 32, 'end': 63, 'probability': 0.9093560152423663}, {'text': 'dalian univ. of technol.', 'start': 64, 'end': 88, 'probability': 0.75015592482778}], 'city': [{'text': 'dalian', 'start': 90, 'end': 96, 'probability': 0.9859636516380377}], 'country': [{'text': 'china', 'start': 97, 'end': 102, 'probability': 0.999983429958462}]}",dalian university of technology
22,"Beijing Institute of Technology(Beijing Institute of Technology,Beijing Inst. of Technol.),Beijing,China","Beijing Institute of Technology(Beijing Institute of Technology,Beijing Inst. of Technol.),Beijing,China",39126,"{'primary organization': [{'text': 'beijing institute of technology', 'start': 0, 'end': 31, 'probability': 0.8808834034531827}], 'secondary organization': [{'text': 'beijing institute of technology', 'start': 0, 'end': 31, 'probability': 0.8247696198614136}], 'tertiary organization': [{'text': 'beijing institute of technology', 'start': 0, 'end': 31, 'probability': 0.8673289780201294}, {'text': 'beijing institute of technology', 'start': 32, 'end': 63, 'probability': 0.4739291933287859}], 'city': [{'text': 'beijing', 'start': 91, 'end': 98, 'probability': 0.999725301057012}, {'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.8802385452762351}, {'text': 'beijing', 'start': 32, 'end': 39, 'probability': 0.9786094329145456}, {'text': 'beijing', 'start': 64, 'end': 71, 'probability': 0.9991951704604389}], 'country': [{'text': 'china', 'start': 99, 'end': 104, 'probability': 0.9999781847855616}]}",beijing institute of technology
23,"National University of Defense Technology(National University of Defense Technology,National Univ. of Defense Technology),Changsha,China","National University of Defense Technology(National University of Defense Technology,National Univ. of Defense Technology),Changsha,China",39037,"{'primary organization': [{'text': 'national university of defense technology', 'start': 0, 'end': 41, 'probability': 0.9501771467787705}, {'text': 'national university of defense technology', 'start': 42, 'end': 83, 'probability': 0.6230573279763973}, {'text': 'national univ. of defense technology', 'start': 84, 'end': 120, 'probability': 0.39528503836484674}], 'secondary organization': [{'text': 'national university of defense technology', 'start': 0, 'end': 41, 'probability': 0.8702991766339707}, {'text': 'national university of defense technology', 'start': 42, 'end': 83, 'probability': 0.5168160019334209}, {'text': 'national univ. of defense technology', 'start': 84, 'end': 120, 'probability': 0.3492198842964882}], 'tertiary organization': [{'text': 'national university of defense technology', 'start': 0, 'end': 41, 'probability': 0.9385179058305226}, {'text': 'national university of defense technology', 'start': 42, 'end': 83, 'probability': 0.6378404985807435}, {'text': 'national univ. of defense technology', 'start': 84, 'end': 120, 'probability': 0.7251364273098915}], 'city': [{'text': 'changsha', 'start': 122, 'end': 130, 'probability': 0.9990917207621202}], 'country': [{'text': 'china', 'start': 131, 'end': 136, 'probability': 0.9999796152798446}]}",national university of defense technology
24,"Central South University China(Central South University ^),Changsha,China","Central South University China(Central South University ^),Changsha,China",38164,"{'primary organization': [{'text': 'central south university', 'start': 0, 'end': 24, 'probability': 0.9891587267863855}], 'secondary organization': [{'text': 'central south university', 'start': 31, 'end': 55, 'probability': 0.2914818798893748}, {'text': 'central south university', 'start': 0, 'end': 24, 'probability': 0.9923916777510726}], 'tertiary organization': [{'text': 'central south university', 'start': 31, 'end': 55, 'probability': 0.5169799852830579}, {'text': 'central south university', 'start': 0, 'end': 24, 'probability': 0.9931554838498045}], 'city': [{'text': 'changsha', 'start': 59, 'end': 67, 'probability': 0.9992681246969504}], 'country': [{'text': 'china', 'start': 25, 'end': 30, 'probability': 0.9999553565061348}, {'text': 'china', 'start': 68, 'end': 73, 'probability': 0.999922097641992}]}",central south university
25,"Southeast University(Southeast University,Southeast Univ),Nanjing,China","Southeast University(Southeast University,Southeast Univ),Nanjing,China",37962,"{'primary organization': [{'text': 'southeast university', 'start': 0, 'end': 20, 'probability': 0.9540169712837354}], 'secondary organization': [{'text': 'southeast university', 'start': 0, 'end': 20, 'probability': 0.9621419304706933}, {'text': 'southeast university', 'start': 21, 'end': 41, 'probability': 0.386272453768715}], 'tertiary organization': [{'text': 'southeast university', 'start': 0, 'end': 20, 'probability': 0.9622847166894601}, {'text': 'southeast university', 'start': 21, 'end': 41, 'probability': 0.4722192319977303}], 'city': [{'text': 'nanjing', 'start': 58, 'end': 65, 'probability': 0.9999290121272892}], 'country': [{'text': 'china', 'start': 66, 'end': 71, 'probability': 0.9999809861845179}]}",southeast university
26,To whom correspondence should be addressed.,To whom correspondence should be addressed.,37846,{},NaN
27,"Fudan University(Fudan University),Shanghai,China","Fudan University(Fudan University),Shanghai,China",36955,"{'primary organization': [{'text': 'fudan university', 'start': 0, 'end': 16, 'probability': 0.9937132234380428}, {'text': 'fudan university', 'start': 17, 'end': 33, 'probability': 0.9795000480621603}], 'secondary organization': [{'text': 'fudan university', 'start': 0, 'end': 16, 'probability': 0.9363919862823273}, {'text': 'fudan university', 'start': 17, 'end': 33, 'probability': 0.974560364283434}], 'tertiary organization': [{'text': 'fudan university', 'start': 0, 'end': 16, 'probability': 0.9925379503823528}, {'text': 'fudan university', 'start': 17, 'end': 33, 'probability': 0.9946353194630433}], 'city': [{'text': 'shanghai', 'start': 35, 'end': 43, 'probability': 0.9999842644353265}], 'country': [{'text': 'china', 'start': 44, 'end': 49, 'probability': 0.999981165006389}]}",fudan university
28,"University of Science and Technology of China(University of Science and Technology of China,Univ. of Sci. and Technol. of China),Hefei,China","University of Science and Technology of China(University of Science and Technology of China,Univ. of Sci. and Technol. of China),Hefei,China",36283,"{'primary organization': [{'text': 'university of science and technology of china', 'start': 46, 'end': 91, 'probability': 0.9264343017424643}, {'text': 'university of science and technology of china', 'start': 0, 'end': 45, 'probability': 0.9368122214970818}], 'secondary organization': [{'text': 'university of science and technology of china', 'start': 46, 'end': 91, 'probability': 0.7659565441551877}, {'text': 'university of science and technology of china', 'start': 0, 'end': 45, 'probability': 0.7712589408529915}], 'tertiary organization': [{'text': 'univ. of sci. and technol. of china', 'start': 92, 'end': 127, 'probability': 0.5073439133993674}, {'text': 'university of science and technology of china', 'start': 46, 'end': 91, 'probability': 0.9260980510310404}, {'text': 'university of science and technology of china', 'start': 0, 'end': 45, 'probability': 0.8933762799690257}], 'city': [{'text': 'hefei', 'start': 129, 'end': 134, 'probability': 0.9978695964664297}], 'country': [{'text': 'china', 'start': 135, 'end': 140, 'probability': 0.999862555028816}, {'text': 'china', 'start': 86, 'end': 91, 'probability': 0.999882759167825}, {'text': 'china', 'start': 122, 'end': 127, 'probability': 0.999355906601572}, {'text': 'china', 'start': 40, 'end': 45, 'probability': 0.9999068391805039}]}",university of science and technology of china
29,"Tongji University(Tongji University,Tongji Univ.),Shanghai,China","Tongji University(Tongji University,Tongji Univ.),Shanghai,China",35650,"{'primary organization': [{'text': 'tongji univ.', 'start': 36, 'end': 48, 'probability': 0.6260425508497747}, {'text': 'tongji university', 'start': 0, 'end': 17, 'probability': 0.9913474617615492}, {'text': 'tongji university', 'start': 18, 'end': 35, 'probability': 0.7033163487590173}], 'secondary organization': [{'text': 'tongji univ.', 'start': 36, 'end': 48, 'probability': 0.7120492086002628}, {'text': 'tongji university', 'start': 0, 'end': 17, 'probability': 0.9825970481435391}, {'text': 'tongji university', 'start': 18, 'end': 35, 'probability': 0.6933143582538079}], 'tertiary organization': [{'text': 'tongji univ.', 'start': 36, 'end': 48, 'probability': 0.8092828021067575}, {'text': 'tongji university', 'start': 0, 'end': 17, 'probability': 0.9962798116053406}, {'text': 'tongji university', 'start': 18, 'end': 35, 'probability': 0.8816089447812594}], 'city': [{'text': 'shanghai', 'start': 50, 'end': 58, 'probability': 0.9999847412687899}], 'country': [{'text': 'china', 'start': 59, 'end': 64, 'probability': 0.9999731780697232}]}",tongji university
30,"University of Science and Technology Beijing(University of Science and Technology Beijing),Beijing,China","University of Science and Technology Beijing(University of Science and Technology Beijing),Beijing,China",35461,"{'primary organization': [{'text': 'university of science and technology', 'start': 0, 'end': 36, 'probability': 0.9451062505854431}, {'text': 'university of science and technology', 'start': 45, 'end': 81, 'probability': 0.5466770815574478}], 'secondary organization': [{'text': 'university of science and technology', 'start': 0, 'end': 36, 'probability': 0.9401252394951598}, {'text': 'university of science and technology', 'start': 45, 'end': 81, 'probability': 0.5432024425125519}], 'tertiary organization': [{'text': 'university of science and technology', 'start': 0, 'end': 36, 'probability': 0.9365362818411072}, {'text': 'university of science and technology', 'start': 45, 'end': 81, 'probability': 0.6632986162454131}], 'city': [{'text': 'beijing', 'start': 82, 'end': 89, 'probability': 0.9972391960409936}, {'text': 'beijing', 'start': 37, 'end': 44, 'probability': 0.9980106962585396}, {'text': 'beijing', 'start': 91, 'end': 98, 'probability': 0.9996802394159943}], 'country': [{'text': 'china', 'start': 99, 'end': 104, 'probability': 0.9999654890740288}]}",university of science and technology
31,"Shandong University(Shandong University),Jinan,China","Shandong University(Shandong University),Jinan,China",35149,"{'primary organization': [{'text': 'shandong university', 'start': 0, 'end': 19, 'probability': 0.982421267579813}, {'text': 'shandong university', 'start': 20, 'end': 39, 'probability': 0.9698392840879713}], 'secondary organization': [{'text': 'shandong university', 'start': 0, 'end': 19, 'probability': 0.9325621064332381}, {'text': 'shandong university', 'start': 20, 'end': 39, 'probability': 0.9703559741826666}], 'tertiary organization': [{'text': 'shandong university', 'start': 0, 'end': 19, 'probability': 0.9790767337528052}, {'text': 'shandong university', 'start': 20, 'end': 39, 'probability': 0.9906526536438918}], 'city': [{'text': 'jinan', 'start': 41, 'end': 46, 'probability': 0.9942901763383638}], 'country': [{'text': 'china', 'start': 47, 'end': 52, 'probability': 0.9999562504272319}]}",shandong university
32,These authors contributed equally to this work.,These authors contributed equally to this work.,34399,{},NaN
33,"Nanjing University(Nanjing University),Nanjing,China","Nanjing University(Nanjing University),Nanjing,China",32996,"{'primary organization': [{'text': 'nanjing university', 'start': 0, 'end': 18, 'probability': 0.8682009142469838}, {'text': 'nanjing university', 'start': 19, 'end': 37, 'probability': 0.8743591031260003}], 'secondary organization': [{'text': 'nanjing university', 'start': 0, 'end': 18, 'probability': 0.8249077566453877}, {'text': 'nanjing university', 'start': 19, 'end': 37, 'probability': 0.9402319831668926}], 'tertiary organization': [{'text': 'nanjing university', 'start': 0, 'end': 18, 'probability': 0.9145693893042264}, {'text': 'nanjing university', 'start': 19, 'end': 37, 'probability': 0.9765935414948856}], 'city': [{'text': 'nanjing', 'start': 0, 'end': 7, 'probability': 0.9438386066814708}, {'text': 'nanjing', 'start': 19, 'end': 26, 'probability': 0.9891052654915313}, {'text': 'nanjing', 'start': 39, 'end': 46, 'probability': 0.9989607796984217}], 'country': [{'text': 'china', 'start': 47, 'end': 52, 'probability': 0.9999771119089473}]}",nanjing university
34,Auteur correspondant.,Auteur correspondant.,32615,"{'primary organization': [{'text': 'auteur', 'start': 0, 'end': 6, 'probability': 0.9932447290616686}], 'secondary organization': [{'text': 'auteur', 'start': 0, 'end': 6, 'probability': 0.941464036504982}], 'tertiary organization': [{'text': 'auteur', 'start': 0, 'end': 6, 'probability': 0.6522267925672054}], 'city': [{'text': 'auteur', 'start': 0, 'end': 6, 'probability': 0.44874243975836947}]}",auteur
35,"Northeastern University China(Northeastern University,Northeastern Univ.),Shenyang,China","Northeastern University China(Northeastern University,Northeastern Univ.),Shenyang,China",32492,"{'primary organization': [{'text': 'northeastern university', 'start': 0, 'end': 23, 'probability': 0.9729251496354223}, {'text': 'northeastern university', 'start': 30, 'end': 53, 'probability': 0.7696856589197232}], 'secondary organization': [{'text': 'northeastern university', 'start': 0, 'end': 23, 'probability': 0.9608733389316129}, {'text': 'northeastern university', 'start': 30, 'end': 53, 'probability': 0.7392348181775255}], 'tertiary organization': [{'text': 'northeastern university', 'start': 0, 'end': 23, 'probability': 0.9769777119836434}, {'text': 'northeastern university', 'start': 30, 'end': 53, 'probability': 0.9079641613727674}, {'text': 'northeastern univ.', 'start': 54, 'end': 72, 'probability': 0.7275815945055726}], 'city': [{'text': 'shenyang', 'start': 74, 'end': 82, 'probability': 0.9997330464053533}], 'country': [{'text': 'china', 'start': 83, 'end': 88, 'probability': 0.9999281174302439}, {'text': 'china', 'start': 24, 'end': 29, 'probability': 0.9999650719231177}]}",northeastern university
36,"Baylor Coll Med, Houston, TX 77030 USA","Baylor Coll Med, Houston, TX 77030 USA",32216,"{'primary organization': [{'text': 'baylor coll med', 'start': 0, 'end': 15, 'probability': 0.9681934996665404}], 'secondary organization': [{'text': 'baylor coll med', 'start': 0, 'end': 15, 'probability': 0.7576887228327038}], 'tertiary organization': [{'text': 'baylor coll med', 'start': 0, 'end': 15, 'probability': 0.9937805249231815}], 'city': [{'text': 'houston', 'start': 17, 'end': 24, 'probability': 0.9999735357113906}], 'postal code': [{'text': '77030', 'start': 29, 'end': 34, 'probability': 0.8606385226872604}], 'country': [{'text': 'usa', 'start': 35, 'end': 38, 'probability': 0.9995015078719831}]}",baylor coll med
37,"Fermilab Natl Accelerator Lab, Batavia, IL 60510 USA","Fermilab Natl Accelerator Lab, Batavia, IL 60510 USA",31617,"{'primary organization': [{'text': 'fermilab natl accelerator lab', 'start': 0, 'end': 29, 'probability': 0.6949762457807722}], 'secondary organization': [{'text': 'fermilab natl accelerator lab', 'start': 0, 'end': 29, 'probability': 0.7140237054359133}], 'tertiary organization': [{'text': 'fermilab natl', 'start': 0, 'end': 13, 'probability': 0.599373440719404}], 'city': [{'text': 'batavia', 'start': 31, 'end': 38, 'probability': 0.9999699594761147}], 'country': [{'text': 'usa', 'start': 49, 'end': 52, 'probability': 0.9999717475292869}]}",fermilab natl accelerator lab
