,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
65,federal university of sao paulo,federal university of sao paulo,federal university of sao paulo,22434,federal university of sao paulo
66,technische universitat munchen,technische universitat munchen,technische universitat munchen,22422,technische universitat munchen
67,"dana farber canc institute, boston, ma 02115 usa","dana farber canc inst, boston, ma 02115 usa","dana farber canc institute, boston, ma 02115 usa",22109,dana farber canc institute
68,"university calif berkeley, berkeley, ca 94720 usa","univ calif berkeley, berkeley, ca 94720 usa","university calif berkeley, berkeley, ca 94720 usa",22008,NaN
69,"university n carolina, chapel hill, nc usa","univ n carolina, chapel hill, nc usa","university n carolina, chapel hill, nc usa",21757,university n carolina
70,"lawrence livermore national laboratory, livermore, ca 94550 usa","lawrence livermore natl lab, livermore, ca 94550 usa","lawrence livermore national laboratory, livermore, ca 94550 usa",21581,lawrence livermore national laboratory
71,"penn state university, university pk, pa 16802 usa","penn state univ, university pk, pa 16802 usa","penn state university, university pk, pa 16802 usa",21332,penn state university
72,"icahn sch medicine mt sinai, new york, ny 10029 usa","icahn sch med mt sinai, new york, ny 10029 usa","icahn sch medicine mt sinai, new york, ny 10029 usa",21172,NaN
73,"southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china","southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china","southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china",21148,southwest jiaotong university
74,"china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china","china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china","china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china",21078,china university of mining technology
75,empresa brasileira de pesquisa agropecuaria,empresa brasileira de pesquisa agropecuaria,empresa brasileira de pesquisa agropecuaria,20977,empresa brasileira de pesquisa agropecuaria
76,vu university amsterdam,vu university amsterdam,vu university amsterdam,20640,vu university amsterdam
77,"beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china","beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china","beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china",20002,beijing jiaotong university
78,"shanghai university(shanghai university),shanghai,china","shanghai university(shanghai university),shanghai,china","shanghai university(shanghai university),shanghai,china",19961,shanghai university
79,"jiangsu university(jiangsu university),zhenjiang,china","jiangsu university(jiangsu university),zhenjiang,china","jiangsu university(jiangsu university),zhenjiang,china",19611,jiangsu university
80,"medicine college wisconsin, milwaukee, wi 53226 usa","med coll wisconsin, milwaukee, wi 53226 usa","medicine college wisconsin, milwaukee, wi 53226 usa",19603,medicine college wisconsin
81,"los alamos national laboratory, los alamos, nm 87545 usa","los alamos natl lab, los alamos, nm 87545 usa","los alamos national laboratory, los alamos, nm 87545 usa",19373,los alamos national laboratory
82,"oregon health and sciences university, portland, or 97201 usa","oregon hlth & sci univ, portland, or 97201 usa","oregon health and sciences university, portland, or 97201 usa",19229,oregon health and sciences university
83,"hunan university(hunan university,hunan univ.),changsha,china","hunan university(hunan university,hunan univ.),changsha,china","hunan university(hunan university,hunan univ.),changsha,china",19025,hunan university
84,boston children s hospital,boston children s hospital,boston children s hospital,18586,boston children s hospital
85,"brigham and womens hospital, boston, ma 02115 usa","brigham & womens hosp, boston, ma 02115 usa","brigham and womens hospital, boston, ma 02115 usa",18575,brigham and womens hospital
86,ecole polytechnique federale de lausanne,ecole polytechnique federale de lausanne,ecole polytechnique federale de lausanne,18440,ecole polytechnique federale de lausanne
87,"east china university of science and technology(east china university of science and technology),shanghai,china","east china university of science and technology(east china university of science and technology),shanghai,china","east china university of science and technology(east china university of science and technology),shanghai,china",17701,east china university of science and technology
88,"university calif berkeley, department chemical, berkeley, ca 94720 usa","univ calif berkeley, dept chem, berkeley, ca 94720 usa","university calif berkeley, department chemical, berkeley, ca 94720 usa",17618,NaN
89,"china university of geosciences(china university of geosciences),wuhan,china","china university of geosciences(china university of geosciences),wuhan,china","china university of geosciences(china university of geosciences),wuhan,china",17362,china university of geosciences
90,"university wisconsin, madison, wi 53706 usa","univ wisconsin, madison, wi 53706 usa","university wisconsin, madison, wi 53706 usa",16753,university wisconsin
91,"institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china","institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china","institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china",16496,institute of physics
92,"zhengzhou university(zhengzhou university),zhengzhou,china","zhengzhou university(zhengzhou university),zhengzhou,china","zhengzhou university(zhengzhou university),zhengzhou,china",16491,zhengzhou university
93,"cedars sinai medicine center, los angeles, ca 90048 usa","cedars sinai med ctr, los angeles, ca 90048 usa","cedars sinai medicine center, los angeles, ca 90048 usa",16424,cedars sinai medicine center
94,"university calif san diego, san diego, ca 92103 usa","univ calif san diego, san diego, ca 92103 usa","university calif san diego, san diego, ca 92103 usa",16350,university calif
95,universidade federal de vicosa,universidade federal de vicosa,universidade federal de vicosa,16235,universidade federal de vicosa
96,"european organization for nuclear research(cern),geneve,switzerland","european organization for nuclear research(cern),geneve,switzerland","european organization for nuclear research(cern),geneve,switzerland",16165,european organization for nuclear research
97,"brigham and womens hospital, 75 francis st, boston, ma 02115 usa","brigham & womens hosp, 75 francis st, boston, ma 02115 usa","brigham and womens hospital, 75 francis st, boston, ma 02115 usa",15864,brigham and womens hospital
98,universite de montreal,universite de montreal,universite de montreal,15838,universite de montreal
99,"xiamen university(xiamen university),xiamen,china","xiamen university(xiamen university),xiamen,china","xiamen university(xiamen university),xiamen,china",15781,xiamen university
100,http://www.springermedizin.de,http://www.springermedizin.de,http://www.springermedizin.de,15712,NaN
101,"soochow university(soochow university,suzhou university),suzhou,china","soochow university(soochow university,suzhou university),suzhou,china","soochow university(soochow university,suzhou university),suzhou,china",15658,soochow university
102,university of brasilia,university of brasilia,university of brasilia,15644,university of brasilia
103,federal university of paraiba,federal university of paraiba,federal university of paraiba,15636,federal university of paraiba
104,author to whom correspondence should be addressed.,author to whom correspondence should be addressed.,author to whom correspondence should be addressed.,15443,NaN
105,"university n carolina, chapel hill, nc 27515 usa","univ n carolina, chapel hill, nc 27515 usa","university n carolina, chapel hill, nc 27515 usa",15429,university n carolina
106,federal university of ceara,federal university of ceara,federal university of ceara,15413,federal university of ceara
107,"university sao paulo, sao paulo, brazil","univ sao paulo, sao paulo, brazil","university sao paulo, sao paulo, brazil",15131,university sao paulo
108,universite catholique de louvain,universite catholique de louvain,universite catholique de louvain,15123,universite catholique de louvain
109,"university calif los angeles, david geffen sch medicine, los angeles, ca 90095 usa","univ calif los angeles, david geffen sch med, los angeles, ca 90095 usa","university calif los angeles, david geffen sch medicine, los angeles, ca 90095 usa",14838,NaN
110,"medicine university vienna, vienna, austria","med univ vienna, vienna, austria","medicine university vienna, vienna, austria",14632,medicine university
111,"changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china","changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china","changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china",14466,chinese academy of sciences
112,"beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china","beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china","beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china",13705,beijing university of chemical technology
113,"brookhaven national laboratory, upton, ny 11973 usa","brookhaven natl lab, upton, ny 11973 usa","brookhaven national laboratory, upton, ny 11973 usa",13621,brookhaven national laboratory
114,"hohai university(hohai university,hohai univ.),nanjing,china","hohai university(hohai university,hohai univ.),nanjing,china","hohai university(hohai university,hohai univ.),nanjing,china",13611,hohai university
115,"center dis control and prevent, atlanta, ga usa","ctr dis control & prevent, atlanta, ga usa","center dis control and prevent, atlanta, ga usa",13554,center dis control and prevent
116,"chinese academy sciences, institute physics, beijing national laboratory condensed matter physics, beijing 100190, peoples r china","chinese acad sci, inst phys, beijing natl lab condensed matter phys, beijing 100190, peoples r china","chinese academy sciences, institute physics, beijing national laboratory condensed matter physics, beijing 100190, peoples r china",13503,"chinese academy sciences, institute physics, beijing national laboratory"
117,"beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china","beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china","beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china",13310,beijing university of aeronautics and astronautics
118,"hefei university of technology(hefei university of technology),hefei,china","hefei university of technology(hefei university of technology),hefei,china","hefei university of technology(hefei university of technology),hefei,china",13195,hefei university of technology
119,"university london imperial college sciences technology and medicine, london, england","univ london imperial coll sci technol & med, london, england","university london imperial college sciences technology and medicine, london, england",13089,imperial college sciences technology and medicine
120,"beth israel deaconess medicine center, boston, ma 02215 usa","beth israel deaconess med ctr, boston, ma 02215 usa","beth israel deaconess medicine center, boston, ma 02215 usa",12940,NaN
121,"china agricultural university(china agricultural university),beijing,china","china agricultural university(china agricultural university),beijing,china","china agricultural university(china agricultural university),beijing,china",12929,china agricultural university
122,university of tubingen,university of tubingen,university of tubingen,12914,university of tubingen
123,"harvard smithsonian center astrophys, cambridge, ma 02138 usa","harvard smithsonian ctr astrophys, cambridge, ma 02138 usa","harvard smithsonian center astrophys, cambridge, ma 02138 usa",12763,harvard smithsonian center
124,"chinese academy of medical sciences(chinese academy of medical sciences),beijing,china","chinese academy of medical sciences(chinese academy of medical sciences),beijing,china","chinese academy of medical sciences(chinese academy of medical sciences),beijing,china",12745,chinese academy of medical sciences
125,"nanyang technology university, sch elect and elect engineering, singapore 639798, singapore","nanyang technol univ, sch elect & elect engn, singapore 639798, singapore","nanyang technology university, sch elect and elect engineering, singapore 639798, singapore",12675,nanyang technology university
126,"european org nucl research cern, geneva, switzerland","european org nucl res cern, geneva, switzerland","european org nucl research cern, geneva, switzerland",12663,NaN
127,"yanshan university(yanshan university),qinhuangdao,china","yanshan university(yanshan university),qinhuangdao,china","yanshan university(yanshan university),qinhuangdao,china",12651,yanshan university
128,dresden university of technology,dresden university of technology,dresden university of technology,12568,dresden university of technology
129,"university fed sao paulo, sao paulo, brazil","univ fed sao paulo, sao paulo, brazil","university fed sao paulo, sao paulo, brazil",12463,university fed
130,"lanzhou university(lanzhou university),lanzhou,china","lanzhou university(lanzhou university),lanzhou,china","lanzhou university(lanzhou university),lanzhou,china",12435,lanzhou university
131,"weill cornell medicine college, new york, ny usa","weill cornell med coll, new york, ny usa","weill cornell medicine college, new york, ny usa",12423,weill cornell medicine college
132,ecole polytechnique,ecole polytechnique,ecole polytechnique,12409,ecole polytechnique
133,university of nebraska lincoln,university of nebraska lincoln,university of nebraska lincoln,12340,university of nebraska lincoln
134,universite libre de bruxelles,universite libre de bruxelles,universite libre de bruxelles,12200,universite libre de bruxelles
135,"harvard medicine sch, boston, ma 02115 usa","harvard med sch, boston, ma 02115 usa","harvard medicine sch, boston, ma 02115 usa",12114,harvard medicine
136,university of paris sud,university of paris sud,university of paris sud,12030,university of paris sud
137,"nanjing university of technology(nanjing university of technology),nanjing,china","nanjing university of technology(nanjing university of technology),nanjing,china","nanjing university of technology(nanjing university of technology),nanjing,china",11993,nanjing university of technology
138,department,dept,department,11866,NaN
139,king s college london,king s college london,king s college london,11712,king s college london
140,"cincinnati childrens hospital medicine center, cincinnati, oh 45229 usa","cincinnati childrens hosp med ctr, cincinnati, oh 45229 usa","cincinnati childrens hospital medicine center, cincinnati, oh 45229 usa",11704,NaN
141,"mv lomonosov state univ,moscow 117234,ussr","mv lomonosov state univ,moscow 117234,ussr","mv lomonosov state univ,moscow 117234,ussr",11681,mv lomonosov state univ
142,"university texas md anderson canc center, department leukemia, houston, tx 77030 usa","univ texas md anderson canc ctr, dept leukemia, houston, tx 77030 usa","university texas md anderson canc center, department leukemia, houston, tx 77030 usa",11667,university texas
143,http://www.bsl.nl,http://www.bsl.nl,http://www.bsl.nl,11596,NaN
144,"zhejiang university of technology(zhejiang university of technology),hangzhou,china","zhejiang university of technology(zhejiang university of technology),hangzhou,china","zhejiang university of technology(zhejiang university of technology),hangzhou,china",11539,zhejiang university of technology
145,"beijing normal university(beijing normal university),beijing,china","beijing normal university(beijing normal university),beijing,china","beijing normal university(beijing normal university),beijing,china",11533,beijing normal university
146,"mt sinai sch medicine, new york, ny usa","mt sinai sch med, new york, ny usa","mt sinai sch medicine, new york, ny usa",11470,mt sinai sch medicine
147,"european organization for nuclear research (cern),geneva,switzerland","european organization for nuclear research (cern),geneva,switzerland","european organization for nuclear research (cern),geneva,switzerland",11464,cern
148,"xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china","xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china","xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china",11439,xi'an university of technology
149,"shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese academy of sciences),shanghai,china","shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese acad of sciences),shanghai,china","shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese academy of sciences),shanghai,china",11304,shanghai institute of optics and fine mechanics
150,"university calif riverside, riverside, ca 92521 usa","univ calif riverside, riverside, ca 92521 usa","university calif riverside, riverside, ca 92521 usa",11300,NaN
151,queen s university,queen s university,queen s university,11284,queen s university
152,"china medical university shenyang(china medical university),shenyang,china","china medical university shenyang(china medical university),shenyang,china","china medical university shenyang(china medical university),shenyang,china",11219,china medical university
153,"european organization for nuclear research (cern), geneva, switzerland.","european organization for nuclear research (cern), geneva, switzerland.","european organization for nuclear research (cern), geneva, switzerland.",11186,cern
154,to whom all correspondence should be addressed.,to whom all correspondence should be addressed.,to whom all correspondence should be addressed.,11097,NaN
155,"institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china","institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china","institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china",11086,institute of semiconductors
156,"sandia national labs, albuquerque, nm 87185 usa","sandia natl labs, albuquerque, nm 87185 usa","sandia national labs, albuquerque, nm 87185 usa",11059,sandia national labs
157,technion israel institute of technology,technion israel institute of technology,technion israel institute of technology,11032,technion israel institute of technology
158,"chinese academy sciences, institute modern physics, lanzhou 730000, peoples r china","chinese acad sci, inst modern phys, lanzhou 730000, peoples r china","chinese academy sciences, institute modern physics, lanzhou 730000, peoples r china",10973,chinese academy sciences
159,"cleveland clinic fdn, cleveland, oh 44195 usa","cleveland clin fdn, cleveland, oh 44195 usa","cleveland clinic fdn, cleveland, oh 44195 usa",10827,cleveland clinic fdn
160,"university calif berkeley, department physics, berkeley, ca 94720 usa","univ calif berkeley, dept phys, berkeley, ca 94720 usa","university calif berkeley, department physics, berkeley, ca 94720 usa",10786,NaN
161,"hospital clinic barcelona, barcelona, spain","hosp clin barcelona, barcelona, spain","hospital clinic barcelona, barcelona, spain",10725,hospital clinic barcelona
162,"university nebraska medicine center, omaha, ne usa","univ nebraska med ctr, omaha, ne usa","university nebraska medicine center, omaha, ne usa",10671,university nebraska medicine center
163,queen s university belfast,queen s university belfast,queen s university belfast,10662,queen s university belfast
164,"university calif irvine, irvine, ca usa","univ calif irvine, irvine, ca usa","university calif irvine, irvine, ca usa",10642,university calif
165,"university fed minas gerais, belo horizonte, mg, brazil","univ fed minas gerais, belo horizonte, mg, brazil","university fed minas gerais, belo horizonte, mg, brazil",10587,university fed
166,"indiana university sch medicine, indianapolis, in 46202 usa","indiana univ sch med, indianapolis, in 46202 usa","indiana university sch medicine, indianapolis, in 46202 usa",10578,indiana university
167,"georgia institute technology, atlanta, ga 30332 usa","georgia inst technol, atlanta, ga 30332 usa","georgia institute technology, atlanta, ga 30332 usa",10463,georgia institute technology
168,"albert einstein college medicine, bronx, ny 10467 usa","albert einstein coll med, bronx, ny 10467 usa","albert einstein college medicine, bronx, ny 10467 usa",10444,albert einstein college medicine
169,technische hochschule,technische hochschule,technische hochschule,10436,technische hochschule
170,"national renewable energy laboratory, golden, co 80401 usa","natl renewable energy lab, golden, co 80401 usa","national renewable energy laboratory, golden, co 80401 usa",10404,national renewable energy laboratory
171,"naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china","naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china","naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china",10391,naval university of engineering
172,"beijing university chemical technology, state key laboratory chemical resource engineering, beijing 100029, peoples r china","beijing univ chem technol, state key lab chem resource engn, beijing 100029, peoples r china","beijing university chemical technology, state key laboratory chemical resource engineering, beijing 100029, peoples r china",10345,NaN
173,"research institute fragrance materials inc, 50 tice blvd, woodcliff lake, nj 07677 usa","res inst fragrance mat inc, 50 tice blvd, woodcliff lake, nj 07677 usa","research institute fragrance materials inc, 50 tice blvd, woodcliff lake, nj 07677 usa",10235,fragrance materials inc
