Origin Organizations,Cleaned,Filled
"beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china","beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china","beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china"
"national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china","national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china","national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china"
"central south university china(central south university ^),changsha,china","central south university china(central south university ^),changsha,china","central south university china(central south university ^),changsha,china"
"southeast university(southeast university,southeast univ),nanjing,china","southeast university(southeast university,southeast univ),nanjing,china","southeast university(southeast university,southeast univ),nanjing,china"
to whom correspondence should be addressed.,to whom correspondence should be addressed.,to whom correspondence should be addressed.
"fudan university(fudan university),shanghai,china","fudan university(fudan university),shanghai,china","fudan university(fudan university),shanghai,china"
"university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china","university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china","university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china"
"tongji university(tongji university,tongji univ.),shanghai,china","tongji university(tongji university,tongji univ.),shanghai,china","tongji university(tongji university,tongji univ.),shanghai,china"
"university of science and technology beijing(university of science and technology beijing),beijing,china","university of science and technology beijing(university of science and technology beijing),beijing,china","university of science and technology beijing(university of science and technology beijing),beijing,china"
"shandong university(shandong university),jinan,china","shandong university(shandong university),jinan,china","shandong university(shandong university),jinan,china"
these authors contributed equally to this work.,these authors contributed equally to this work.,these authors contributed equally to this work.
"nanjing university(nanjing university),nanjing,china","nanjing university(nanjing university),nanjing,china","nanjing university(nanjing university),nanjing,china"
auteur correspondant.,auteur correspondant.,auteur correspondant.
"northeastern university china(northeastern university,northeastern univ.),shenyang,china","northeastern university china(northeastern university,northeastern univ.),shenyang,china","northeastern university china(northeastern university,northeastern univ.),shenyang,china"
"baylor college medicine, houston, tx 77030 usa","baylor coll med, houston, tx 77030 usa","baylor college medicine, houston, tx 77030 usa"
"fermilab national accelerator laboratory, batavia, il 60510 usa","fermilab natl accelerator lab, batavia, il 60510 usa","fermilab national accelerator laboratory, batavia, il 60510 usa"
"university calif los angeles, los angeles, ca usa","univ calif los angeles, los angeles, ca usa","university calif los angeles, los angeles, ca usa"
"northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china","northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china","northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china"
"university alabama birmingham, birmingham, al usa","univ alabama birmingham, birmingham, al usa","university alabama birmingham, birmingham, al usa"
"south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china","south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china","south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china"
"institute high energy physics, beijing 100049, peoples r china","inst high energy phys, beijing 100049, peoples r china","institute high energy physics, beijing 100049, peoples r china"
"university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china","university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china","university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china"
"xidian university(xidian university,xidian univ.),xi an,china","xidian university(xidian university,xidian univ.),xi an,china","xidian university(xidian university,xidian univ.),xi an,china"
"chongqing university(chongqing university),chongqing,china","chongqing university(chongqing university),chongqing,china","chongqing university(chongqing university),chongqing,china"
instituto politecnico nacional,instituto politecnico nacional,instituto politecnico nacional
"nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china","nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china","nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china"
texas a m university,texas a m university,texas a m university
"beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china","beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china","beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china"
"beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china","beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china","beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china"
"china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china","china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china","china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china"
federal university of parana,federal university of parana,federal university of parana
"university calif san diego, la jolla, ca 92093 usa","univ calif san diego, la jolla, ca 92093 usa","university calif san diego, la jolla, ca 92093 usa"
"north china electric power university(north china electric power university),beijing,china","north china electric power university(north china electric power university),beijing,china","north china electric power university(north china electric power university),beijing,china"
"university calif davis, davis, ca 95616 usa","univ calif davis, davis, ca 95616 usa","university calif davis, davis, ca 95616 usa"
"mem sloan kettering canc center, 1275 york ave, new york, ny 10021 usa","mem sloan kettering canc ctr, 1275 york ave, new york, ny 10021 usa","mem sloan kettering canc center, 1275 york ave, new york, ny 10021 usa"
"mem sloan kettering canc center, new york, ny 10021 usa","mem sloan kettering canc ctr, new york, ny 10021 usa","mem sloan kettering canc center, new york, ny 10021 usa"
"wuhan university of technology(wuhan university of technology),wuhan,china","wuhan university of technology(wuhan university of technology),wuhan,china","wuhan university of technology(wuhan university of technology),wuhan,china"
"university wisconsin, madison, wi usa","univ wisconsin, madison, wi usa","university wisconsin, madison, wi usa"
autor para correspondencia.,autor para correspondencia.,autor para correspondencia.
"beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china","beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china","beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china"
"nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china","nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china","nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china"
"institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china","institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china","institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china"
"harbin engineering university(harbin engineering university),harbin,china","harbin engineering university(harbin engineering university),harbin,china","harbin engineering university(harbin engineering university),harbin,china"
federal university of sao paulo,federal university of sao paulo,federal university of sao paulo
technische universitat munchen,technische universitat munchen,technische universitat munchen
"dana farber canc institute, boston, ma 02115 usa","dana farber canc inst, boston, ma 02115 usa","dana farber canc institute, boston, ma 02115 usa"
"university calif berkeley, berkeley, ca 94720 usa","univ calif berkeley, berkeley, ca 94720 usa","university calif berkeley, berkeley, ca 94720 usa"
"university n carolina, chapel hill, nc usa","univ n carolina, chapel hill, nc usa","university n carolina, chapel hill, nc usa"
"lawrence livermore national laboratory, livermore, ca 94550 usa","lawrence livermore natl lab, livermore, ca 94550 usa","lawrence livermore national laboratory, livermore, ca 94550 usa"
"penn state university, university pk, pa 16802 usa","penn state univ, university pk, pa 16802 usa","penn state university, university pk, pa 16802 usa"
"icahn sch medicine mt sinai, new york, ny 10029 usa","icahn sch med mt sinai, new york, ny 10029 usa","icahn sch medicine mt sinai, new york, ny 10029 usa"
"southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china","southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china","southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china"
"china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china","china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china","china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china"
empresa brasileira de pesquisa agropecuaria,empresa brasileira de pesquisa agropecuaria,empresa brasileira de pesquisa agropecuaria
vu university amsterdam,vu university amsterdam,vu university amsterdam
"beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china","beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china","beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china"
"shanghai university(shanghai university),shanghai,china","shanghai university(shanghai university),shanghai,china","shanghai university(shanghai university),shanghai,china"
"jiangsu university(jiangsu university),zhenjiang,china","jiangsu university(jiangsu university),zhenjiang,china","jiangsu university(jiangsu university),zhenjiang,china"
"medicine college wisconsin, milwaukee, wi 53226 usa","med coll wisconsin, milwaukee, wi 53226 usa","medicine college wisconsin, milwaukee, wi 53226 usa"
"los alamos national laboratory, los alamos, nm 87545 usa","los alamos natl lab, los alamos, nm 87545 usa","los alamos national laboratory, los alamos, nm 87545 usa"
"oregon health and sciences university, portland, or 97201 usa","oregon hlth & sci univ, portland, or 97201 usa","oregon health and sciences university, portland, or 97201 usa"
"hunan university(hunan university,hunan univ.),changsha,china","hunan university(hunan university,hunan univ.),changsha,china","hunan university(hunan university,hunan univ.),changsha,china"
boston children s hospital,boston children s hospital,boston children s hospital
"brigham and womens hospital, boston, ma 02115 usa","brigham & womens hosp, boston, ma 02115 usa","brigham and womens hospital, boston, ma 02115 usa"
ecole polytechnique federale de lausanne,ecole polytechnique federale de lausanne,ecole polytechnique federale de lausanne
"east china university of science and technology(east china university of science and technology),shanghai,china","east china university of science and technology(east china university of science and technology),shanghai,china","east china university of science and technology(east china university of science and technology),shanghai,china"
"university calif berkeley, department chemical, berkeley, ca 94720 usa","univ calif berkeley, dept chem, berkeley, ca 94720 usa","university calif berkeley, department chemical, berkeley, ca 94720 usa"
"china university of geosciences(china university of geosciences),wuhan,china","china university of geosciences(china university of geosciences),wuhan,china","china university of geosciences(china university of geosciences),wuhan,china"
"university wisconsin, madison, wi 53706 usa","univ wisconsin, madison, wi 53706 usa","university wisconsin, madison, wi 53706 usa"
"institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china","institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china","institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china"
"zhengzhou university(zhengzhou university),zhengzhou,china","zhengzhou university(zhengzhou university),zhengzhou,china","zhengzhou university(zhengzhou university),zhengzhou,china"
"cedars sinai medicine center, los angeles, ca 90048 usa","cedars sinai med ctr, los angeles, ca 90048 usa","cedars sinai medicine center, los angeles, ca 90048 usa"
"university calif san diego, san diego, ca 92103 usa","univ calif san diego, san diego, ca 92103 usa","university calif san diego, san diego, ca 92103 usa"
universidade federal de vicosa,universidade federal de vicosa,universidade federal de vicosa
"european organization for nuclear research(cern),geneve,switzerland","european organization for nuclear research(cern),geneve,switzerland","european organization for nuclear research(cern),geneve,switzerland"
"brigham and womens hospital, 75 francis st, boston, ma 02115 usa","brigham & womens hosp, 75 francis st, boston, ma 02115 usa","brigham and womens hospital, 75 francis st, boston, ma 02115 usa"
universite de montreal,universite de montreal,universite de montreal
"xiamen university(xiamen university),xiamen,china","xiamen university(xiamen university),xiamen,china","xiamen university(xiamen university),xiamen,china"
http://www.springermedizin.de,http://www.springermedizin.de,http://www.springermedizin.de
"soochow university(soochow university,suzhou university),suzhou,china","soochow university(soochow university,suzhou university),suzhou,china","soochow university(soochow university,suzhou university),suzhou,china"
university of brasilia,university of brasilia,university of brasilia
federal university of paraiba,federal university of paraiba,federal university of paraiba
author to whom correspondence should be addressed.,author to whom correspondence should be addressed.,author to whom correspondence should be addressed.
"university n carolina, chapel hill, nc 27515 usa","univ n carolina, chapel hill, nc 27515 usa","university n carolina, chapel hill, nc 27515 usa"
federal university of ceara,federal university of ceara,federal university of ceara
"university sao paulo, sao paulo, brazil","univ sao paulo, sao paulo, brazil","university sao paulo, sao paulo, brazil"
universite catholique de louvain,universite catholique de louvain,universite catholique de louvain
"university calif los angeles, david geffen sch medicine, los angeles, ca 90095 usa","univ calif los angeles, david geffen sch med, los angeles, ca 90095 usa","university calif los angeles, david geffen sch medicine, los angeles, ca 90095 usa"
"medicine university vienna, vienna, austria","med univ vienna, vienna, austria","medicine university vienna, vienna, austria"
"changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china","changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china","changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china"
"beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china","beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china","beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china"
"brookhaven national laboratory, upton, ny 11973 usa","brookhaven natl lab, upton, ny 11973 usa","brookhaven national laboratory, upton, ny 11973 usa"
"hohai university(hohai university,hohai univ.),nanjing,china","hohai university(hohai university,hohai univ.),nanjing,china","hohai university(hohai university,hohai univ.),nanjing,china"
"center dis control and prevent, atlanta, ga usa","ctr dis control & prevent, atlanta, ga usa","center dis control and prevent, atlanta, ga usa"
"chinese academy sciences, institute physics, beijing national laboratory condensed matter physics, beijing 100190, peoples r china","chinese acad sci, inst phys, beijing natl lab condensed matter phys, beijing 100190, peoples r china","chinese academy sciences, institute physics, beijing national laboratory condensed matter physics, beijing 100190, peoples r china"
"beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china","beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china","beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china"
"hefei university of technology(hefei university of technology),hefei,china","hefei university of technology(hefei university of technology),hefei,china","hefei university of technology(hefei university of technology),hefei,china"
"university london imperial college sciences technology and medicine, london, england","univ london imperial coll sci technol & med, london, england","university london imperial college sciences technology and medicine, london, england"
"beth israel deaconess medicine center, boston, ma 02215 usa","beth israel deaconess med ctr, boston, ma 02215 usa","beth israel deaconess medicine center, boston, ma 02215 usa"
"china agricultural university(china agricultural university),beijing,china","china agricultural university(china agricultural university),beijing,china","china agricultural university(china agricultural university),beijing,china"
university of tubingen,university of tubingen,university of tubingen
"harvard smithsonian center astrophys, cambridge, ma 02138 usa","harvard smithsonian ctr astrophys, cambridge, ma 02138 usa","harvard smithsonian center astrophys, cambridge, ma 02138 usa"
"chinese academy of medical sciences(chinese academy of medical sciences),beijing,china","chinese academy of medical sciences(chinese academy of medical sciences),beijing,china","chinese academy of medical sciences(chinese academy of medical sciences),beijing,china"
"nanyang technology university, sch elect and elect engineering, singapore 639798, singapore","nanyang technol univ, sch elect & elect engn, singapore 639798, singapore","nanyang technology university, sch elect and elect engineering, singapore 639798, singapore"
"european org nucl research cern, geneva, switzerland","european org nucl res cern, geneva, switzerland","european org nucl research cern, geneva, switzerland"
"yanshan university(yanshan university),qinhuangdao,china","yanshan university(yanshan university),qinhuangdao,china","yanshan university(yanshan university),qinhuangdao,china"
dresden university of technology,dresden university of technology,dresden university of technology
"university fed sao paulo, sao paulo, brazil","univ fed sao paulo, sao paulo, brazil","university fed sao paulo, sao paulo, brazil"
"lanzhou university(lanzhou university),lanzhou,china","lanzhou university(lanzhou university),lanzhou,china","lanzhou university(lanzhou university),lanzhou,china"
"weill cornell medicine college, new york, ny usa","weill cornell med coll, new york, ny usa","weill cornell medicine college, new york, ny usa"
ecole polytechnique,ecole polytechnique,ecole polytechnique
university of nebraska lincoln,university of nebraska lincoln,university of nebraska lincoln
universite libre de bruxelles,universite libre de bruxelles,universite libre de bruxelles
"harvard medicine sch, boston, ma 02115 usa","harvard med sch, boston, ma 02115 usa","harvard medicine sch, boston, ma 02115 usa"
university of paris sud,university of paris sud,university of paris sud
"nanjing university of technology(nanjing university of technology),nanjing,china","nanjing university of technology(nanjing university of technology),nanjing,china","nanjing university of technology(nanjing university of technology),nanjing,china"
department,dept,department
king s college london,king s college london,king s college london
"cincinnati childrens hospital medicine center, cincinnati, oh 45229 usa","cincinnati childrens hosp med ctr, cincinnati, oh 45229 usa","cincinnati childrens hospital medicine center, cincinnati, oh 45229 usa"
"mv lomonosov state univ,moscow 117234,ussr","mv lomonosov state univ,moscow 117234,ussr","mv lomonosov state univ,moscow 117234,ussr"
"university texas md anderson canc center, department leukemia, houston, tx 77030 usa","univ texas md anderson canc ctr, dept leukemia, houston, tx 77030 usa","university texas md anderson canc center, department leukemia, houston, tx 77030 usa"
http://www.bsl.nl,http://www.bsl.nl,http://www.bsl.nl
"zhejiang university of technology(zhejiang university of technology),hangzhou,china","zhejiang university of technology(zhejiang university of technology),hangzhou,china","zhejiang university of technology(zhejiang university of technology),hangzhou,china"
"beijing normal university(beijing normal university),beijing,china","beijing normal university(beijing normal university),beijing,china","beijing normal university(beijing normal university),beijing,china"
"mt sinai sch medicine, new york, ny usa","mt sinai sch med, new york, ny usa","mt sinai sch medicine, new york, ny usa"
"european organization for nuclear research (cern),geneva,switzerland","european organization for nuclear research (cern),geneva,switzerland","european organization for nuclear research (cern),geneva,switzerland"
"xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china","xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china","xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china"
"shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese academy of sciences),shanghai,china","shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese acad of sciences),shanghai,china","shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese academy of sciences),shanghai,china"
"university calif riverside, riverside, ca 92521 usa","univ calif riverside, riverside, ca 92521 usa","university calif riverside, riverside, ca 92521 usa"
queen s university,queen s university,queen s university
"china medical university shenyang(china medical university),shenyang,china","china medical university shenyang(china medical university),shenyang,china","china medical university shenyang(china medical university),shenyang,china"
"european organization for nuclear research (cern), geneva, switzerland.","european organization for nuclear research (cern), geneva, switzerland.","european organization for nuclear research (cern), geneva, switzerland."
to whom all correspondence should be addressed.,to whom all correspondence should be addressed.,to whom all correspondence should be addressed.
"institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china","institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china","institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china"
"sandia national labs, albuquerque, nm 87185 usa","sandia natl labs, albuquerque, nm 87185 usa","sandia national labs, albuquerque, nm 87185 usa"
technion israel institute of technology,technion israel institute of technology,technion israel institute of technology
"chinese academy sciences, institute modern physics, lanzhou 730000, peoples r china","chinese acad sci, inst modern phys, lanzhou 730000, peoples r china","chinese academy sciences, institute modern physics, lanzhou 730000, peoples r china"
"cleveland clinic fdn, cleveland, oh 44195 usa","cleveland clin fdn, cleveland, oh 44195 usa","cleveland clinic fdn, cleveland, oh 44195 usa"
"university calif berkeley, department physics, berkeley, ca 94720 usa","univ calif berkeley, dept phys, berkeley, ca 94720 usa","university calif berkeley, department physics, berkeley, ca 94720 usa"
"hospital clinic barcelona, barcelona, spain","hosp clin barcelona, barcelona, spain","hospital clinic barcelona, barcelona, spain"
"university nebraska medicine center, omaha, ne usa","univ nebraska med ctr, omaha, ne usa","university nebraska medicine center, omaha, ne usa"
queen s university belfast,queen s university belfast,queen s university belfast
"university calif irvine, irvine, ca usa","univ calif irvine, irvine, ca usa","university calif irvine, irvine, ca usa"
"university fed minas gerais, belo horizonte, mg, brazil","univ fed minas gerais, belo horizonte, mg, brazil","university fed minas gerais, belo horizonte, mg, brazil"
"indiana university sch medicine, indianapolis, in 46202 usa","indiana univ sch med, indianapolis, in 46202 usa","indiana university sch medicine, indianapolis, in 46202 usa"
"georgia institute technology, atlanta, ga 30332 usa","georgia inst technol, atlanta, ga 30332 usa","georgia institute technology, atlanta, ga 30332 usa"
"albert einstein college medicine, bronx, ny 10467 usa","albert einstein coll med, bronx, ny 10467 usa","albert einstein college medicine, bronx, ny 10467 usa"
technische hochschule,technische hochschule,technische hochschule
"national renewable energy laboratory, golden, co 80401 usa","natl renewable energy lab, golden, co 80401 usa","national renewable energy laboratory, golden, co 80401 usa"
"naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china","naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china","naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china"
"beijing university chemical technology, state key laboratory chemical resource engineering, beijing 100029, peoples r china","beijing univ chem technol, state key lab chem resource engn, beijing 100029, peoples r china","beijing university chemical technology, state key laboratory chemical resource engineering, beijing 100029, peoples r china"
"research institute fragrance materials inc, 50 tice blvd, woodcliff lake, nj 07677 usa","res inst fragrance mat inc, 50 tice blvd, woodcliff lake, nj 07677 usa","research institute fragrance materials inc, 50 tice blvd, woodcliff lake, nj 07677 usa"
sun yat sen university,sun yat sen university,sun yat sen university
"pacific nw national laboratory, richland, wa 99352 usa","pacific nw natl lab, richland, wa 99352 usa","pacific nw national laboratory, richland, wa 99352 usa"
martin luther university of halle wittenberg,martin luther university of halle wittenberg,martin luther university of halle wittenberg
"university arkansas medicine sciences, little rock, ar 72205 usa","univ arkansas med sci, little rock, ar 72205 usa","university arkansas medicine sciences, little rock, ar 72205 usa"
",et al",",et al",",et al"
"fermilab national accelerator laboratory, pob 500, batavia, il 60510 usa","fermilab natl accelerator lab, pob 500, batavia, il 60510 usa","fermilab national accelerator laboratory, pob 500, batavia, il 60510 usa"
"ut md anderson canc center, houston, tx usa","ut md anderson canc ctr, houston, tx usa","ut md anderson canc center, houston, tx usa"
"university texas health sciences center san antonio, san antonio, tx 78229 usa","univ texas hlth sci ctr san antonio, san antonio, tx 78229 usa","university texas health sciences center san antonio, san antonio, tx 78229 usa"
"chinese academy sciences, institute high energy physics, beijing 100049, peoples r china","chinese acad sci, inst high energy phys, beijing 100049, peoples r china","chinese academy sciences, institute high energy physics, beijing 100049, peoples r china"
"novartis pharma ag, basel, switzerland","novartis pharma ag, basel, switzerland","novartis pharma ag, basel, switzerland"
"capital medical university china(capital university of medical sciences,capital medical university),beijing,china","capital medical university china(capital university of medical sciences,capital medical university),beijing,china","capital medical university china(capital university of medical sciences,capital medical university),beijing,china"
academy of sciences of the czech republic,academy of sciences of the czech republic,academy of sciences of the czech republic
"georgia institute technology, sch elect and comp engineering, atlanta, ga 30332 usa","georgia inst technol, sch elect & comp engn, atlanta, ga 30332 usa","georgia institute technology, sch elect and comp engineering, atlanta, ga 30332 usa"
"chengdu university of technology(chengdu university of technology),chengdu,china","chengdu university of technology(chengdu university of technology),chengdu,china","chengdu university of technology(chengdu university of technology),chengdu,china"
"kunming university of science and technology(kunming university of science and technology),kunming,china","kunming university of science and technology(kunming university of science and technology),kunming,china","kunming university of science and technology(kunming university of science and technology),kunming,china"
"medicine university s carolina, charleston, sc 29425 usa","med univ s carolina, charleston, sc 29425 usa","medicine university s carolina, charleston, sc 29425 usa"
"university calif santa barbara, santa barbara, ca 93106 usa","univ calif santa barbara, santa barbara, ca 93106 usa","university calif santa barbara, santa barbara, ca 93106 usa"
pontificia universidade catolica do rio grande do sul,pontificia universidade catolica do rio grande do sul,pontificia universidade catolica do rio grande do sul
"northwestern university(northwestern university),evanston,united states","northwestern university(northwestern university),evanston,united states","northwestern university(northwestern university),evanston,united states"
"nanyang technology university, sch materials sciences and engineering, singapore 639798, singapore","nanyang technol univ, sch mat sci & engn, singapore 639798, singapore","nanyang technology university, sch materials sciences and engineering, singapore 639798, singapore"
charite,charite,charite
"chang'an university(chang'an university),xi an,china","chang'an university(chang'an university),xi an,china","chang'an university(chang'an university),xi an,china"
"ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china","ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china","ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china"
"h lee moffitt canc center and research institute, tampa, fl usa","h lee moffitt canc ctr & res inst, tampa, fl usa","h lee moffitt canc center and research institute, tampa, fl usa"
"peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china","peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china","peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china"
"asan medicine center, seoul, south korea","asan med ctr, seoul, south korea","asan medicine center, seoul, south korea"
state university of new york system,state university of new york system,state university of new york system
"chinese academy sciences, shanghai institute ceram, state key laboratory high performance ceram and superfine, shanghai 200050, peoples r china","chinese acad sci, shanghai inst ceram, state key lab high performance ceram & superfine, shanghai 200050, peoples r china","chinese academy sciences, shanghai institute ceram, state key laboratory high performance ceram and superfine, shanghai 200050, peoples r china"
"university of shanghai for science and technology(university of shanghai for science and technology),shanghai,china","university of shanghai for science and technology(university of shanghai for science and technology),shanghai,china","university of shanghai for science and technology(university of shanghai for science and technology),shanghai,china"
"university penn, perelman sch medicine, philadelphia, pa 19104 usa","univ penn, perelman sch med, philadelphia, pa 19104 usa","university penn, perelman sch medicine, philadelphia, pa 19104 usa"
