prev,after
"Changchun Institute of Optics Fine Mechanics and Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Changchun,China","changchun institute of optics fine mechanics and physics chinese academy of sciences(chinese academy of sciences),changchun,china"
"Beijing University of Chemical Technology(Beijing University of Chemical Technology,Beijing Univ. of Chemical Technology),Beijing,China","beijing university of chemical technology(beijing university of chemical technology,beijing univ. of chemical technology),beijing,china"
"Brookhaven Natl Lab, Upton, NY 11973 USA","brookhaven natl lab, upton, ny 11973 usa"
"Hohai University(Hohai University,Hohai Univ.),Nanjing,China","hohai university(hohai university,hohai univ.),nanjing,china"
"Ctr Dis Control & Prevent, Atlanta, GA USA","ctr dis control & prevent, atlanta, ga usa"
"Chinese Acad Sci, Inst Phys, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China","chinese acad sci, inst phys, beijing natl lab condensed matter phys, beijing 100190, peoples r china"
"Beijing University of Aeronautics and Astronautics(Beijing University of Aeronautics and Astronautics,Beijing Univ. of Aero. and Astron.),Beijing,China","beijing university of aeronautics and astronautics(beijing university of aeronautics and astronautics,beijing univ. of aero. and astron.),beijing,china"
"Hefei University of Technology(Hefei University of Technology),Hefei,China","hefei university of technology(hefei university of technology),hefei,china"
"Univ London Imperial Coll Sci Technol & Med, London, England","univ london imperial coll sci technol & med, london, england"
"Beth Israel Deaconess Med Ctr, Boston, MA 02215 USA","beth israel deaconess med ctr, boston, ma 02215 usa"
"China Agricultural University(China Agricultural University),Beijing,China","china agricultural university(china agricultural university),beijing,china"
university of tubingen,university of tubingen
"Harvard Smithsonian Ctr Astrophys, Cambridge, MA 02138 USA","harvard smithsonian ctr astrophys, cambridge, ma 02138 usa"
"Chinese Academy of Medical Sciences(Chinese Academy of Medical Sciences),Beijing,China","chinese academy of medical sciences(chinese academy of medical sciences),beijing,china"
"Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore 639798, Singapore","nanyang technol univ, sch elect & elect engn, singapore 639798, singapore"
"European Org Nucl Res CERN, Geneva, Switzerland","european org nucl res cern, geneva, switzerland"
"Yanshan University(Yanshan University),Qinhuangdao,China","yanshan university(yanshan university),qinhuangdao,china"
dresden university of technology,dresden university of technology
"Univ Fed Sao Paulo, Sao Paulo, Brazil","univ fed sao paulo, sao paulo, brazil"
"Lanzhou University(Lanzhou University),Lanzhou,China","lanzhou university(lanzhou university),lanzhou,china"
"Weill Cornell Med Coll, New York, NY USA","weill cornell med coll, new york, ny usa"
ecole polytechnique,ecole polytechnique
university of nebraska lincoln,university of nebraska lincoln
universite libre de bruxelles,universite libre de bruxelles
"Harvard Med Sch, Boston, MA 02115 USA","harvard med sch, boston, ma 02115 usa"
university of paris sud,university of paris sud
"Nanjing University of Technology(Nanjing University of Technology),Nanjing,China","nanjing university of technology(nanjing university of technology),nanjing,china"
Dept,dept
king s college london,king s college london
"Cincinnati Childrens Hosp Med Ctr, Cincinnati, OH 45229 USA","cincinnati childrens hosp med ctr, cincinnati, oh 45229 usa"
"MV LOMONOSOV STATE UNIV,MOSCOW 117234,USSR","mv lomonosov state univ,moscow 117234,ussr"
"Univ Texas MD Anderson Canc Ctr, Dept Leukemia, Houston, TX 77030 USA","univ texas md anderson canc ctr, dept leukemia, houston, tx 77030 usa"
http://www.bsl.nl,http://www.bsl.nl
"Zhejiang University of Technology(Zhejiang University of Technology),Hangzhou,China","zhejiang university of technology(zhejiang university of technology),hangzhou,china"
"Beijing Normal University(Beijing Normal University),Beijing,China","beijing normal university(beijing normal university),beijing,china"
"Mt Sinai Sch Med, New York, NY USA","mt sinai sch med, new york, ny usa"
"European Organization for Nuclear Research (CERN),Geneva,Switzerland","european organization for nuclear research (cern),geneva,switzerland"
"Xi'an University of Technology(Xi'an University of Technology,Xi'an Univ. of Technol.),Xi An,China","xi'an university of technology(xi'an university of technology,xi'an univ. of technol.),xi an,china"
"Shanghai Institute of Optics and Fine Mechanics Chinese Academy of Sciences(Chinese Academy of Sciences,Chinese Acad of Sciences),Shanghai,China","shanghai institute of optics and fine mechanics chinese academy of sciences(chinese academy of sciences,chinese acad of sciences),shanghai,china"
"Univ Calif Riverside, Riverside, CA 92521 USA","univ calif riverside, riverside, ca 92521 usa"
queen s university,queen s university
"China Medical University Shenyang(China Medical University),Shenyang,China","china medical university shenyang(china medical university),shenyang,china"
"European Organization for Nuclear Research (CERN), Geneva, Switzerland.","european organization for nuclear research (cern), geneva, switzerland."
To whom all correspondence should be addressed.,to whom all correspondence should be addressed.
"Institute of Semiconductors Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China","institute of semiconductors chinese academy of sciences(chinese academy of sciences),beijing,china"
"Sandia Natl Labs, Albuquerque, NM 87185 USA","sandia natl labs, albuquerque, nm 87185 usa"
technion israel institute of technology,technion israel institute of technology
"Chinese Acad Sci, Inst Modern Phys, Lanzhou 730000, Peoples R China","chinese acad sci, inst modern phys, lanzhou 730000, peoples r china"
"Cleveland Clin Fdn, Cleveland, OH 44195 USA","cleveland clin fdn, cleveland, oh 44195 usa"
"Univ Calif Berkeley, Dept Phys, Berkeley, CA 94720 USA","univ calif berkeley, dept phys, berkeley, ca 94720 usa"
"Hosp Clin Barcelona, Barcelona, Spain","hosp clin barcelona, barcelona, spain"
"Univ Nebraska Med Ctr, Omaha, NE USA","univ nebraska med ctr, omaha, ne usa"
queen s university belfast,queen s university belfast
"Univ Calif Irvine, Irvine, CA USA","univ calif irvine, irvine, ca usa"
"Univ Fed Minas Gerais, Belo Horizonte, MG, Brazil","univ fed minas gerais, belo horizonte, mg, brazil"
"Indiana Univ Sch Med, Indianapolis, IN 46202 USA","indiana univ sch med, indianapolis, in 46202 usa"
"Georgia Inst Technol, Atlanta, GA 30332 USA","georgia inst technol, atlanta, ga 30332 usa"
"Albert Einstein Coll Med, Bronx, NY 10467 USA","albert einstein coll med, bronx, ny 10467 usa"
technische hochschule,technische hochschule
"Natl Renewable Energy Lab, Golden, CO 80401 USA","natl renewable energy lab, golden, co 80401 usa"
"Naval University of Engineering(Naval University of Engineering,Naval Univ. of Engineering),Wuhan,China","naval university of engineering(naval university of engineering,naval univ. of engineering),wuhan,china"
"Beijing Univ Chem Technol, State Key Lab Chem Resource Engn, Beijing 100029, Peoples R China","beijing univ chem technol, state key lab chem resource engn, beijing 100029, peoples r china"
"Res Inst Fragrance Mat Inc, 50 Tice Blvd, Woodcliff Lake, NJ 07677 USA","res inst fragrance mat inc, 50 tice blvd, woodcliff lake, nj 07677 usa"
sun yat sen university,sun yat sen university
"Pacific NW Natl Lab, Richland, WA 99352 USA","pacific nw natl lab, richland, wa 99352 usa"
martin luther university of halle wittenberg,martin luther university of halle wittenberg
"Univ Arkansas Med Sci, Little Rock, AR 72205 USA","univ arkansas med sci, little rock, ar 72205 usa"
",et al",",et al"
"Fermilab Natl Accelerator Lab, POB 500, Batavia, IL 60510 USA","fermilab natl accelerator lab, pob 500, batavia, il 60510 usa"
"UT MD Anderson Canc Ctr, Houston, TX USA","ut md anderson canc ctr, houston, tx usa"
"Univ Texas Hlth Sci Ctr San Antonio, San Antonio, TX 78229 USA","univ texas hlth sci ctr san antonio, san antonio, tx 78229 usa"
"Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China","chinese acad sci, inst high energy phys, beijing 100049, peoples r china"
"Novartis Pharma AG, Basel, Switzerland","novartis pharma ag, basel, switzerland"
"Capital Medical University China(Capital University of Medical Sciences,Capital Medical University),Beijing,China","capital medical university china(capital university of medical sciences,capital medical university),beijing,china"
academy of sciences of the czech republic,academy of sciences of the czech republic
"Georgia Inst Technol, Sch Elect & Comp Engn, Atlanta, GA 30332 USA","georgia inst technol, sch elect & comp engn, atlanta, ga 30332 usa"
"Chengdu University of Technology(Chengdu University of Technology),Chengdu,China","chengdu university of technology(chengdu university of technology),chengdu,china"
"Kunming University of Science and Technology(Kunming University of Science and Technology),Kunming,China","kunming university of science and technology(kunming university of science and technology),kunming,china"
"Med Univ S Carolina, Charleston, SC 29425 USA","med univ s carolina, charleston, sc 29425 usa"
"Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA","univ calif santa barbara, santa barbara, ca 93106 usa"
pontificia universidade catolica do rio grande do sul,pontificia universidade catolica do rio grande do sul
"Northwestern University(Northwestern University),Evanston,United States","northwestern university(northwestern university),evanston,united states"
"Nanyang Technol Univ, Sch Mat Sci & Engn, Singapore 639798, Singapore","nanyang technol univ, sch mat sci & engn, singapore 639798, singapore"
charite,charite
"Chang'an University(Chang'an University),Xi An,China","chang'an university(chang'an university),xi an,china"
"Ocean University of China(Ocean University of China,Ocean University of Qingdao),Qingdao,China","ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china"
"H Lee Moffitt Canc Ctr & Res Inst, Tampa, FL USA","h lee moffitt canc ctr & res inst, tampa, fl usa"
"Peking Union Medical College(Peking Union Medical College Hospital,PUMC Hospital,Peking Union Medical College),Beijing,China","peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china"
"Asan Med Ctr, Seoul, South Korea","asan med ctr, seoul, south korea"
state university of new york system,state university of new york system
"Chinese Acad Sci, Shanghai Inst Ceram, State Key Lab High Performance Ceram & Superfine, Shanghai 200050, Peoples R China","chinese acad sci, shanghai inst ceram, state key lab high performance ceram & superfine, shanghai 200050, peoples r china"
"University of Shanghai for Science and Technology(University of Shanghai for Science and Technology),Shanghai,China","university of shanghai for science and technology(university of shanghai for science and technology),shanghai,china"
"Univ Penn, Perelman Sch Med, Philadelphia, PA 19104 USA","univ penn, perelman sch med, philadelphia, pa 19104 usa"
"Chinese Acad Sci, Fujian Inst Res Struct Matter, State Key Lab Struct Chem, Fuzhou 350002, Fujian, Peoples R China","chinese acad sci, fujian inst res struct matter, state key lab struct chem, fuzhou 350002, fujian, peoples r china"
"China Pharmaceutical University(China Pharmaceutical University),Nanjing,China","china pharmaceutical university(china pharmaceutical university),nanjing,china"
"Taiyuan Li Gong Daxue(Taiyuan University of Technology),Taiyuan,China","taiyuan li gong daxue(taiyuan university of technology),taiyuan,china"
universidade federal de goias,universidade federal de goias
Berlin,berlin
"Univ Calif Los Angeles, Dept Chem & Biochem, Los Angeles, CA 90095 USA","univ calif los angeles, dept chem & biochem, los angeles, ca 90095 usa"
xi an jiaotong university,xi an jiaotong university
aix marseille university,aix marseille university
"Nanjing Agricultural University(Nanjing Agricultural University),Nanjing,China","nanjing agricultural university(nanjing agricultural university),nanjing,china"
"Univ Texas Southwestern Med Ctr Dallas, Dallas, TX 75390 USA","univ texas southwestern med ctr dallas, dallas, tx 75390 usa"
"Chongqing University of Medical Sciences(Chongqing University of Medical Sciences,Chongqing Univ. of Medical Sciences,Chongqing Medical University),Chongqing,China","chongqing university of medical sciences(chongqing university of medical sciences,chongqing univ. of medical sciences,chongqing medical university),chongqing,china"
environ,environ
"Institute of Metal Research Chinese Academy of Sciences(Chinese Academy of Sciences),Shenyang,China","institute of metal research chinese academy of sciences(chinese academy of sciences),shenyang,china"
"Deutsches Elektronen-Synchrotron, Hamburg, Germany.","deutsches elektronen-synchrotron, hamburg, germany."
"Joint Inst Nucl Res, Dubna, Russia","joint inst nucl res, dubna, russia"
"Novartis Pharmaceut, E Hanover, NJ USA","novartis pharmaceut, e hanover, nj usa"
"Nanchang University(Nanchang University),Nanchang,China","nanchang university(nanchang university),nanchang,china"
"Univ Calif Irvine, Dept Chem, Irvine, CA 92697 USA","univ calif irvine, dept chem, irvine, ca 92697 usa"
"Jinan University(Jinan University),Jinan,China","jinan university(jinan university),jinan,china"
"Univ Calif Davis, Dept Chem, Davis, CA 95616 USA","univ calif davis, dept chem, davis, ca 95616 usa"
"Univ Calif Los Angeles, Los Angeles, CA 90024 USA","univ calif los angeles, los angeles, ca 90024 usa"
"Wuhan Univ Technol, State Key Lab Adv Technol Mat Synth & Proc, Wuhan 430070, Peoples R China","wuhan univ technol, state key lab adv technol mat synth & proc, wuhan 430070, peoples r china"
.,.
"Univ Calif San Diego, Dept Chem & Biochem, La Jolla, CA 92093 USA","univ calif san diego, dept chem & biochem, la jolla, ca 92093 usa"
"Univ Med Ctr Utrecht, Utrecht, Netherlands","univ med ctr utrecht, utrecht, netherlands"
"Oak Ridge Natl Lab, Oak Ridge, TN 37831 USA","oak ridge natl lab, oak ridge, tn 37831 usa"
"Fuzhou University(Fuzhou University),Fuzhou,China","fuzhou university(fuzhou university),fuzhou,china"
"PLA University of Science and Technology(PLA University of Science and Technology,PLA Univ. of Sci. and Technol.,PLA Univ. of Sci. and Tech.),Nanjing,China","pla university of science and technology(pla university of science and technology,pla univ. of sci. and technol.,pla univ. of sci. and tech.),nanjing,china"
"Univ Texas Med Branch, Galveston, TX 77555 USA","univ texas med branch, galveston, tx 77555 usa"
"Shenzhen University(Shenzhen University),Qingshuihe, Shenzhen,China","shenzhen university(shenzhen university),qingshuihe, shenzhen,china"
"Hebei University(Hebei University),Baoding,China","hebei university(hebei university),baoding,china"
"Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei 230026, Anhui, Peoples R China","univ sci & technol china, hefei natl lab phys sci microscale, hefei 230026, anhui, peoples r china"
"Univ Fed Rio Grande do Sul, Porto Alegre, RS, Brazil","univ fed rio grande do sul, porto alegre, rs, brazil"
"Donghua University(Donghua University ^),Shanghai,China","donghua university(donghua university ^),shanghai,china"
japan atomic energy research institute,japan atomic energy research institute
"Univ Texas SW Med Ctr Dallas, Dallas, TX 75390 USA","univ texas sw med ctr dallas, dallas, tx 75390 usa"
"Sinopec(SINOPEC),Beijing,China","sinopec(sinopec),beijing,china"
"Charite Univ Med Berlin, Berlin, Germany","charite univ med berlin, berlin, germany"
"All India Inst Med Sci, New Delhi, India","all india inst med sci, new delhi, india"
"China Institute of Atomic Energy(China Institute of Atomic Energy,China Inst of Atomic Energy),Beijing,China","china institute of atomic energy(china institute of atomic energy,china inst of atomic energy),beijing,china"
"Baylor Coll Med, Dept Mol & Human Genet, Houston, TX 77030 USA","baylor coll med, dept mol & human genet, houston, tx 77030 usa"
"Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China","chinese acad sci, inst phys, beijing 100190, peoples r china"
"Max Planck Inst Polymer Res, D-55128 Mainz, Germany","max planck inst polymer res, d-55128 mainz, germany"
pontificia universidade catolica de sao paulo,pontificia universidade catolica de sao paulo
"Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA 30332 USA","georgia inst technol, sch mat sci & engn, atlanta, ga 30332 usa"
"Dana Farber Canc Inst, Dept Med Oncol, Boston, MA 02115 USA","dana farber canc inst, dept med oncol, boston, ma 02115 usa"
forschungszentrum julich,forschungszentrum julich
"Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Polymer Phys & Chem, Changchun 130022, Peoples R China","chinese acad sci, changchun inst appl chem, state key lab polymer phys & chem, changchun 130022, peoples r china"
"Dalian Maritime University(Dalian Maritime University),Dalian,China","dalian maritime university(dalian maritime university),dalian,china"
"Fermi National Accelerator Laboratory(Fermi National Accelerator Laboratory,Fermi Natl. Accelerator Laboratory,Fermilab),Batavia,United States","fermi national accelerator laboratory(fermi national accelerator laboratory,fermi natl. accelerator laboratory,fermilab),batavia,united states"
"Hosp Sick Children, Toronto, ON M5G 1X8, Canada","hosp sick children, toronto, on m5g 1x8, canada"
"Second Military Medical University(Second Military Medical University),Shanghai,China","second military medical university(second military medical university),shanghai,china"
To whom correspondence should be addressed,to whom correspondence should be addressed
"Chinese Academy of Agricultural Sciences(Chinese Academy of Agricultural Sciences),Beijing,China","chinese academy of agricultural sciences(chinese academy of agricultural sciences),beijing,china"
",et al.",",et al."
"Lawrence Livermore Natl Lab, Livermore, CA 94551 USA","lawrence livermore natl lab, livermore, ca 94551 usa"
"Air Force Engineering University China(Air Force Engineering University),Xi'an,China","air force engineering university china(air force engineering university),xi'an,china"
"Henry Ford Hlth Syst, Detroit, MI USA","henry ford hlth syst, detroit, mi usa"
merck co,merck co
"Ministry of Education China(Ministry of Education),Beijing,China","ministry of education china(ministry of education),beijing,china"
"Harbin University of Science and Technology(Harbin University of Science and Technology ^),Harbin,China","harbin university of science and technology(harbin university of science and technology ^),harbin,china"
"Physikalisches Institut, University of Bonn, Bonn, Germany.","physikalisches institut, university of bonn, bonn, germany."
"Seoul Natl Univ, Seoul, South Korea","seoul natl univ, seoul, south korea"
ben gurion university of the negev,ben gurion university of the negev
Moscow,moscow
"Dalian Institute of Chemical Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Dalian,China","dalian institute of chemical physics chinese academy of sciences(chinese academy of sciences),dalian,china"
"Ningbo University(Ningbo University),Ningbo,China","ningbo university(ningbo university),ningbo,china"
"Univ Calif Los Angeles, Los Angeles, CA 90095 USA","univ calif los angeles, los angeles, ca 90095 usa"
