Oregon Health and Sciences University,Oregon Health and Sciences University,TRUE
"Hunan University, Hunan Univ.",Hunan University,TRUE
Boston Childrens Hospital,Boston Childrens Hospital,FALSE
Brigham and Womens Hospital,Brigham and Womens Hospital,FALSE
Ecole Polytechnique Federale de Lausanne,Ecole Polytechnique Federale de Lausanne,FALSE
East China University of Science and Technology,East China University of Science and Technology,TRUE
"University of California Berkeley, Department of Chemical Engineering",University of California Berkeley,FALSE
China University of Geosciences,China University of Geosciences,TRUE
university of wisconsin,university of wisconsin,FALSE
Chinese Academy of Sciences,Chinese Academy of Sciences,FALSE
Zhengzhou University,Zhengzhou University,TRUE
Cedars Sinai Medicine Center,Cedars Sinai Medicine Center,FALSE
University of California San Diego,University of California San Diego,FALSE
Universidade Federal de Vicosa,Universidade Federal de Vicosa,FALSE
European Organization for Nuclear Research (CERN),European Organization for Nuclear Research (CERN),TRUE
Brigham and Womens Hospital,Brigham and Womens Hospital,FALSE
Université de Montréal,Université de Montréal,TRUE
Xiamen University,Xiamen University,TRUE
